op_name,b,s,h,num_heads,head_dim,time_ms
qk_matmul,1,256,2048,32,64,0.059128
softmax,1,256,2048,32,64,0.025340
score_v_matmul,1,256,2048,32,64,0.062121
qk_matmul,1,256,4096,32,128,0.070975
softmax,1,256,4096,32,128,0.029752
score_v_matmul,1,256,4096,32,128,0.054367
qk_matmul,1,512,2048,32,64,0.122587
softmax,1,512,2048,32,64,0.063416
score_v_matmul,1,512,2048,32,64,0.091852
qk_matmul,1,512,4096,32,128,0.144295
softmax,1,512,4096,32,128,0.072551
score_v_matmul,1,512,4096,32,128,0.108064
qk_matmul,1,1024,2048,32,64,0.408397
softmax,1,1024,2048,32,64,0.533651
score_v_matmul,1,1024,2048,32,64,0.323247
qk_matmul,1,1024,4096,32,128,0.613987
softmax,1,1024,4096,32,128,0.528370
score_v_matmul,1,1024,4096,32,128,0.340417
qk_matmul,1,2048,2048,32,64,1.455308
softmax,1,2048,2048,32,64,1.979333
score_v_matmul,1,2048,2048,32,64,0.827374
qk_matmul,1,2048,4096,32,128,2.610992
softmax,1,2048,4096,32,128,1.954545
score_v_matmul,1,2048,4096,32,128,1.172229
qk_matmul,1,4096,2048,32,64,6.239665
softmax,1,4096,2048,32,64,11.484458
score_v_matmul,1,4096,2048,32,64,3.327560
qk_matmul,1,4096,4096,32,128,9.850026
softmax,1,4096,4096,32,128,11.505836
score_v_matmul,1,4096,4096,32,128,4.527732
qk_matmul,2,256,2048,32,64,0.079230
softmax,2,256,2048,32,64,0.038953
score_v_matmul,2,256,2048,32,64,0.068384
qk_matmul,2,256,4096,32,128,0.092377
softmax,2,256,4096,32,128,0.040817
score_v_matmul,2,256,4096,32,128,0.069294
qk_matmul,2,512,2048,32,64,0.221716
softmax,2,512,2048,32,64,0.225114
score_v_matmul,2,512,2048,32,64,0.202055
qk_matmul,2,512,4096,32,128,0.345474
softmax,2,512,4096,32,128,0.233857
score_v_matmul,2,512,4096,32,128,0.202882
qk_matmul,2,1024,2048,32,64,0.765947
softmax,2,1024,2048,32,64,0.889269
score_v_matmul,2,1024,2048,32,64,0.507284
qk_matmul,2,1024,4096,32,128,1.183019
softmax,2,1024,4096,32,128,0.874740
score_v_matmul,2,1024,4096,32,128,0.644375
qk_matmul,2,2048,2048,32,64,3.088718
softmax,2,2048,2048,32,64,3.921220
score_v_matmul,2,2048,2048,32,64,1.615429
qk_matmul,2,2048,4096,32,128,5.087580
softmax,2,2048,4096,32,128,3.919363
score_v_matmul,2,2048,4096,32,128,2.271247
qk_matmul,2,4096,2048,32,64,13.447350
softmax,2,4096,2048,32,64,152.343493
score_v_matmul,2,4096,2048,32,64,6.284900
